"Block","Variety","nitro","yld","BlockVariety"
"I","Victory","0.6","174","I:Victory"
"I","Golden Rain","0.2","114","I:Golden Rain"
"I","Golden Rain","0.4","161","I:Golden Rain"
"I","Marvellous","0","105","I:Marvellous"
"I","Marvellous","0.2","140","I:Marvellous"
"I","Marvellous","0.4","118","I:Marvellous"
"I","Marvellous","0.6","156","I:Marvellous"
"II","Victory","0.2","91","II:Victory"
"II","Victory","0.4","97","II:Victory"
"II","Victory","0.6","100","II:Victory"
"II","Golden Rain","0","70","II:Golden Rain"
"II","Golden Rain","0.2","108","II:Golden Rain"
"II","Golden Rain","0.4","126","II:Golden Rain"
"II","Golden Rain","0.6","149","II:Golden Rain"
"II","Marvellous","0.2","124","II:Marvellous"
"II","Marvellous","0.4","121","II:Marvellous"
"II","Marvellous","0.6","144","II:Marvellous"
"III","Victory","0","68","III:Victory"
"III","Victory","0.2","64","III:Victory"
"III","Victory","0.4","112","III:Victory"
"III","Victory","0.6","86","III:Victory"
"III","Golden Rain","0","60","III:Golden Rain"
"III","Golden Rain","0.2","102","III:Golden Rain"
"III","Golden Rain","0.4","89","III:Golden Rain"
"III","Golden Rain","0.6","96","III:Golden Rain"
"III","Marvellous","0","89","III:Marvellous"
"III","Marvellous","0.4","132","III:Marvellous"
"III","Marvellous","0.6","124","III:Marvellous"
"IV","Victory","0","74","IV:Victory"
"IV","Victory","0.2","89","IV:Victory"
"IV","Victory","0.4","81","IV:Victory"
"IV","Victory","0.6","122","IV:Victory"
"IV","Golden Rain","0","64","IV:Golden Rain"
"IV","Golden Rain","0.2","103","IV:Golden Rain"
"IV","Golden Rain","0.4","132","IV:Golden Rain"
"IV","Golden Rain","0.6","133","IV:Golden Rain"
"IV","Marvellous","0","70","IV:Marvellous"
"IV","Marvellous","0.2","89","IV:Marvellous"
"IV","Marvellous","0.4","104","IV:Marvellous"
"IV","Marvellous","0.6","117","IV:Marvellous"
"V","Victory","0","62","V:Victory"
"V","Victory","0.2","90","V:Victory"
"V","Victory","0.4","100","V:Victory"
"V","Victory","0.6","116","V:Victory"
"V","Golden Rain","0","80","V:Golden Rain"
"V","Golden Rain","0.2","82","V:Golden Rain"
"V","Golden Rain","0.6","126","V:Golden Rain"
"V","Marvellous","0","63","V:Marvellous"
"V","Marvellous","0.2","70","V:Marvellous"
"V","Marvellous","0.4","109","V:Marvellous"
"V","Marvellous","0.6","99","V:Marvellous"
"VI","Victory","0","53","VI:Victory"
"VI","Victory","0.2","74","VI:Victory"
"VI","Victory","0.4","118","VI:Victory"
"VI","Victory","0.6","113","VI:Victory"
"VI","Golden Rain","0","89","VI:Golden Rain"
"VI","Golden Rain","0.2","82","VI:Golden Rain"
"VI","Golden Rain","0.4","86","VI:Golden Rain"
"VI","Golden Rain","0.6","104","VI:Golden Rain"
"VI","Marvellous","0","97","VI:Marvellous"
"VI","Marvellous","0.2","99","VI:Marvellous"
"VI","Marvellous","0.4","119","VI:Marvellous"
"VI","Marvellous","0.6","121","VI:Marvellous"
